idx,bias
0,-2.156963348388672
1,-1.9441386461257935
2,-1.5835894346237183
3,-2.6156249046325684
4,-3.3182716369628906
5,-2.93418025970459
6,-3.01761794090271
7,-2.9529306888580322
8,-2.741379737854004
9,-3.4100568294525146
10,-1.9882303476333618
11,-3.5878806114196777
12,-2.1813461780548096
13,-2.9343783855438232
14,-2.51889967918396
15,-3.1005640029907227
16,-1.953123927116394
17,-2.168393850326538
18,-1.4471818208694458
19,-2.986910343170166
20,-2.565063953399658
21,-1.8918075561523438
22,-2.3407585620880127
23,-2.535728931427002
24,-1.4392753839492798
25,-2.287919044494629
26,-2.92177152633667
27,-2.2344563007354736
28,-3.121428966522217
29,-2.4237048625946045
30,-2.1524205207824707
31,-2.366590738296509
32,-1.9240995645523071
33,-2.644608974456787
34,-2.7339630126953125
35,-2.9649455547332764
36,-2.199725866317749
37,-3.0230820178985596
38,-2.48260235786438
39,-2.9425747394561768
40,-2.0313639640808105
41,-2.997722864151001
42,-2.5967557430267334
43,-2.9970715045928955
44,-2.9963202476501465
45,-3.549203395843506
46,-2.4141273498535156
47,-2.2869889736175537
48,-1.5986276865005493
49,-2.568453550338745
50,-1.7985923290252686
51,-1.28780996799469
52,-2.801743268966675
53,-1.4347566366195679
54,-1.6853551864624023
55,-2.459049701690674
56,-1.553507685661316
57,-1.9432204961776733
58,-2.332197666168213
59,-2.611636161804199
60,-3.135080575942993
61,-3.0935044288635254
62,-3.464428663253784
63,-2.9191975593566895
64,-2.190892457962036
65,-3.617867946624756
66,-2.5487213134765625
67,-1.8042441606521606
68,-2.246264696121216
69,-2.9057157039642334
70,-1.449231505393982
71,-1.47907555103302
72,-2.315415382385254
73,-1.7702131271362305
74,-3.046968936920166
75,-2.3106095790863037
76,-2.8493125438690186
77,-2.429405927658081
78,-2.2360472679138184
79,-2.694230079650879
80,-2.1277875900268555
81,-2.095109224319458
82,-1.45315420627594
83,-2.7907190322875977
84,-2.4412992000579834
85,-2.2547574043273926
86,-2.55122971534729
87,-1.752173662185669
88,-3.076171875
89,-2.715594530105591
90,-4.093522071838379
91,-2.7363603115081787
92,-1.925577998161316
93,-1.93660569190979
94,-2.859677791595459
95,-2.3078033924102783
96,-2.6563453674316406
97,-3.2474913597106934
98,-2.6564271450042725
99,-3.026243209838867
100,-1.900684118270874
101,-1.6187283992767334
102,-2.1914703845977783
103,-2.6504859924316406
104,-2.3349127769470215
105,-1.563467264175415
106,-2.371364116668701
107,-2.3730580806732178
108,-3.801935911178589
109,-2.74038028717041
110,-2.271921157836914
111,-2.317326784133911
112,-2.7544870376586914
113,-2.308040142059326
114,-2.591240167617798
115,-3.5081045627593994
116,-2.6942718029022217
117,-4.0522661209106445
118,-2.4231996536254883
119,-3.131364345550537
120,-2.4311695098876953
121,-1.8169870376586914
122,-2.7161216735839844
123,-2.2477622032165527
124,-2.3135623931884766
125,-2.363248586654663
126,-3.291781425476074
127,-2.5612523555755615
128,-3.798374652862549
129,-3.6959471702575684
130,-1.9719783067703247
131,-2.851022720336914
132,-2.8049662113189697
133,-1.6596627235412598
134,-2.77075457572937
135,-2.081385612487793
136,-2.2945785522460938
137,-2.231224536895752
138,-2.279700756072998
139,-3.081076145172119
140,-2.6972575187683105
141,-3.5348868370056152
142,-2.1413354873657227
143,-2.949941635131836
144,-2.410860061645508
145,-1.1799126863479614
146,-1.827226996421814
147,-1.9132118225097656
148,-2.0167429447174072
149,-2.6232333183288574
150,-2.9280855655670166
151,-3.2913877964019775
152,-2.998821258544922
153,-3.991757869720459
154,-2.127007484436035
155,-3.003340005874634
156,-3.4241344928741455
157,-4.849783420562744
158,-3.1486454010009766
159,-2.743224859237671
160,-2.475658893585205
161,-1.8217055797576904
162,-2.337357521057129
163,-2.7658677101135254
164,-2.6097145080566406
165,-3.123692035675049
166,-3.2106707096099854
167,-2.442570209503174
168,-3.08158016204834
169,-2.938446283340454
170,-2.363412618637085
171,-2.1942262649536133
172,-2.411797285079956
173,-1.9543105363845825
174,-2.0299949645996094
175,-3.7545344829559326
176,-2.8207643032073975
177,-3.141814708709717
178,-2.8680851459503174
179,-2.1244115829467773
180,-1.893081545829773
181,-2.5177345275878906
182,-2.359600067138672
183,-3.3688626289367676
184,-3.0889573097229004
185,-1.58902108669281
186,-2.8620877265930176
187,-2.417161226272583
188,-2.506319046020508
189,-1.7943917512893677
190,-2.214559555053711
191,-1.904555320739746
192,-3.0867815017700195
193,-2.2474544048309326
194,-2.5111958980560303
195,-3.281003952026367
196,-2.2064151763916016
197,-2.9780163764953613
198,-3.0484495162963867
199,-2.008176326751709
200,-4.408960819244385
201,-3.828826904296875
202,-2.8610990047454834
203,-2.9990761280059814
204,-3.984663486480713
205,-2.7063450813293457
206,-2.990483522415161
207,-2.014052391052246
208,-2.3654863834381104
209,-2.6666054725646973
210,-2.2530386447906494
211,-2.6419358253479004
212,-2.070786237716675
213,-1.3918355703353882
214,-1.3696609735488892
215,-1.606212854385376
216,-2.7875454425811768
217,-2.218822479248047
218,-3.920698642730713
219,-2.0921225547790527
220,-2.0221710205078125
221,-2.347683906555176
222,-2.8006160259246826
223,-1.9913944005966187
224,-2.322568655014038
225,-2.8299667835235596
226,-2.551689863204956
227,-2.5380640029907227
228,-1.957558035850525
229,-4.613184928894043
230,-2.289273738861084
231,-3.152780055999756
232,-3.565221071243286
233,-1.9618576765060425
234,-1.6282912492752075
235,-2.5471248626708984
236,-2.301041841506958
237,-2.0119433403015137
238,-1.9673842191696167
239,-1.816825032234192
240,-2.455209732055664
241,-2.9272220134735107
242,-1.8376541137695312
243,-1.2731668949127197
244,-1.6444202661514282
245,-2.312772750854492
246,-2.3292245864868164
247,-1.4986199140548706
248,-2.4668779373168945
249,-2.37906551361084
250,-2.5764191150665283
251,-2.701637029647827
252,-2.3263280391693115
253,-4.134376049041748
254,-2.158363103866577
255,-3.265213966369629
256,-2.2276339530944824
257,-2.365953207015991
258,-2.778959035873413
259,-2.366621494293213
260,-3.6580328941345215
261,-1.9541844129562378
262,-2.7735595703125
263,-3.3183913230895996
264,-2.0934505462646484
265,-3.1583707332611084
266,-0.5809335112571716
267,-2.95800518989563
268,-1.807512640953064
269,-2.0020554065704346
270,-1.8235474824905396
271,-2.302551507949829
272,-2.9007375240325928
273,-3.0307891368865967
274,-1.2790473699569702
275,-2.1181342601776123
276,-2.1512889862060547
277,-2.1882851123809814
278,-2.252420425415039
279,-2.837529182434082
280,-1.8620572090148926
281,-2.240051746368408
282,-2.0389623641967773
283,-2.0530753135681152
284,-3.7343244552612305
285,-3.505591630935669
286,-2.235337734222412
287,-3.7757222652435303
288,-2.0209691524505615
289,-2.879246711730957
290,-2.4677679538726807
291,-2.7541017532348633
292,-2.479320764541626
293,-3.6317858695983887
294,-1.8623908758163452
295,-1.7085269689559937
296,-3.1195974349975586
297,-2.3004989624023438
298,-3.124197006225586
299,-1.3035800457000732
300,-2.144454002380371
301,-2.404799222946167
302,-1.9339123964309692
303,-2.630504846572876
304,-2.4042227268218994
305,-2.589775323867798
306,-3.3345634937286377
307,-3.1713004112243652
308,-2.271123170852661
309,-2.088359832763672
310,-3.5960986614227295
311,-1.8222756385803223
312,-2.358110189437866
313,-2.2819674015045166
314,-2.3490536212921143
315,-2.6185314655303955
316,-2.783085584640503
317,-1.912030816078186
318,-2.021846055984497
319,-3.8575150966644287
320,-3.1462998390197754
321,-2.4208762645721436
322,-2.2845120429992676
323,-1.2192552089691162
324,-2.7235116958618164
325,-1.6509634256362915
326,-2.2524757385253906
327,-1.901908040046692
328,-2.7767317295074463
329,-2.9401943683624268
330,-2.3741188049316406
331,-0.882091224193573
332,-3.4871397018432617
333,-3.4631688594818115
334,-3.4801454544067383
335,-2.5240280628204346
336,-1.4401295185089111
337,-2.776714324951172
338,-2.8028297424316406
339,-2.773865222930908
340,-1.9082655906677246
341,-2.259777307510376
342,-2.3322830200195312
343,-2.5957255363464355
344,-3.298426866531372
345,-2.6824142932891846
346,-1.9217685461044312
347,-2.7047834396362305
348,-2.312147378921509
349,-3.622288703918457
350,-2.010266065597534
351,-3.306818962097168
352,-1.5030720233917236
353,-2.3596343994140625
354,-1.611162781715393
355,-2.708477020263672
356,-2.3468496799468994
357,-2.652451992034912
358,-3.0125021934509277
359,-2.524918556213379
