specification,value
model_name,F2S_WARM_START_200_1_Nature
loss_alpha,0.03
loss_delta,0.0001
num_params,5329081
time_per_epoch,0.948960526227951
rmse_final,0.6383846998214722
auroc_final_R,
auprc_final_R,
mol_corr,0.4171553640608754
se_corr,0.8588067351522699
PCA_dim,256
retained_var,0.9776838
global_bias,0.1401802
thresholds,"[0.503455140673796, 1.6059103778329984, 2.61953689804238, 3.4954525711833884, 4.341427410690744]"
confusion_matrix,"[[0.58377542 0.23604283 0.09060856 0.04813027 0.03038194 0.01106099]
 [0.09821429 0.66964286 0.1875     0.04464286 0.         0.        ]
 [0.0078534  0.19109948 0.65183246 0.13612565 0.01308901 0.        ]
 [0.00099404 0.02186879 0.2415507  0.57057654 0.1610338  0.00397614]
 [0.         0.00501114 0.04120267 0.23496659 0.55846325 0.16035635]
 [0.         0.         0.         0.0245098  0.20343137 0.77205882]]"
