specification,value
model_name,F2S_WARM_START_200_2_Nature_Corrected
loss_alpha,0.03
loss_delta,0.0001
num_params,7038231
time_per_epoch,0.9862920984268189
rmse_final,1.4592941999435425
auroc_final_R,0.8972970901342041
auprc_final_R,0.1961104361112025
PCA_dim,256
retained_var,0.9776838
global_bias,0.1401802
thresholds,"[0.43816715078384094, 1.492501756040083, 2.513807300252181, 3.4216884937190106, 4.326965705740096]"
confusion_matrix,"[[0.63457442 0.21368868 0.07577463 0.04029147 0.02659955 0.00907125]
 [0.17857143 0.52678571 0.19642857 0.08035714 0.01785714 0.        ]
 [0.08376963 0.29057592 0.42670157 0.17015707 0.02617801 0.0026178 ]
 [0.05467197 0.13518887 0.29125249 0.38071571 0.12723658 0.01093439]
 [0.05289532 0.08964365 0.15089087 0.25167038 0.344098   0.11080178]
 [0.04166667 0.05882353 0.06372549 0.13235294 0.30882353 0.39460784]]"
